Definition,ICD9Min,ICD9Max,Codes,Codes,Codes,Codes,Codes,Codes,Codes,Codes,Codes,Codes
RD,3909,3929,I0,,,,,,,,,
VM,4240,,I34,,,,,,,,,
VA,4241,,I35,,,,,,,,,
VT,4242,,I36,,,,,,,,,
V,4240,4249,I34,I35,I36,I37,I38,,,,,
HID,4010,4059,I1,,,,,,,,,
IHD,4109,4149,I21,I22,I23,I24,I25,,,,,
AMI,4109 4129,,I21,I22,,,,,,,,
PHD,4150,4179,I26,I27,I28,,,,,,,
OHD,4200,4299,I3,I4,I5,,,,,,,
STROKE,4309,4359,I6,G45,,,,,,,,
AAC,4400,4489,I7,,,,,,,,,
PAD,4439,,I739,,,,,,,,,
TAA,4359,,G45,,,,,,,,,
FG,2720,,I780,,,,,,,,,
VLL,4510,4589,I8,,,,,,,,,
CVDexR,3930,4599,I1,I2,I3,I4,I5,I6,I7,I8,I9,G45
CVD,3909,4599,I,G45,,,,,,,,
