Phenotype,Coefficient,Lower_Bound,Upper_Bound
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
Education Years,0.0336501,-0.0307261,0.0980263
Fluid Intelligence,-0.1330922,-0.2265697,-0.0396147
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
Education Years,0.0211445,-0.1210373,0.1633263
Fluid Intelligence,-0.1563264,-0.3883922,0.0757394
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
#Delete,0,0,0
Education Years,0.0973851,-0.1291423,0.3239126
Fluid Intelligence,-0.1736096,-0.5398826,0.1926635
