Variable,Observations,Mean,Standard Deviation,Min,Max
sfa_1,241685,0.1143153,0.0926363,0.0,2.749891
sfa_5,241685,0.0987658,0.0608133,0.0,1.097898
sfa_10,241685,0.0813256,0.0482264,0.0,0.6548204
rd,241685,0.0034839,0.0589216,0.0,1.0
v,241685,0.0083166,0.0908156,0.0,1.0
ami,241685,0.0165918,0.1277365,0.0,1.0
ihd,241685,0.0473054,0.2122917,0.0,1.0
stroke,241685,0.0176221,0.1315737,0.0,1.0
cvd,241685,0.2741171,0.4460692,0.0,1.0
eu,207248,-2.47e-08,1.0,-1.643269,0.8635949
fi,99191,2.41e-09,1.0,-2.983638,3.21352
